subject_id,block_id,trial_no,choice_location,outcomeA,outcomeB,chosen_reward,option_left,option_right,choiceprobA,choiceprobB
1,1,1,left,6,2,2,B,A,0,1
1,1,2,left,5,4,4,B,A,0,1
1,1,3,left,2,5,5,B,A,0,1
1,1,4,left,3,4,4,B,A,0,1
1,1,5,left,5,6,6,B,A,0,1
1,1,6,left,6,7,7,B,A,0,1
1,1,7,left,4,2,2,B,A,0,1
1,1,8,right,4,5,4,B,A,1,0
1,1,9,right,5,3,5,B,A,1,0
1,1,10,left,2,3,3,B,A,0,1
1,1,11,left,6,4,4,B,A,0,1
1,1,12,left,2,3,3,B,A,0,1
1,1,13,left,4,5,5,B,A,0,1
1,1,14,left,2,3,3,B,A,0,1
1,1,15,right,4,3,4,B,A,1,0
1,1,16,left,3,4,4,B,A,0,1
1,1,17,left,5,1,1,B,A,0,1
1,1,18,left,3,4,4,B,A,0,1
1,1,19,right,6,4,6,B,A,1,0
1,1,20,left,3,4,4,B,A,0,1
1,1,21,left,7,3,3,B,A,0,1
1,1,22,left,4,2,2,B,A,0,1
1,1,23,right,4,6,4,B,A,1,0
1,1,24,left,4,5,5,B,A,0,1
1,1,25,right,3,4,3,B,A,1,0
1,1,26,right,1,2,1,B,A,1,0
1,1,27,left,5,6,6,B,A,0,1
1,1,28,left,4,5,5,B,A,0,1
1,1,29,right,3,5,3,B,A,1,0
1,1,30,right,5,6,5,B,A,1,0
1,2,1,-1000,9,6,-1000,A,B,-1000,-1000
1,2,2,-1000,4,6,-1000,A,B,-1000,-1000
1,2,3,-1000,4,6,-1000,A,B,-1000,-1000
1,2,4,-1000,4,6,-1000,A,B,-1000,-1000
1,2,5,-1000,4,1,-1000,A,B,-1000,-1000
1,2,6,-1000,9,6,-1000,A,B,-1000,-1000
1,2,7,-1000,4,6,-1000,A,B,-1000,-1000
1,2,8,-1000,4,6,-1000,A,B,-1000,-1000
1,2,9,-1000,4,1,-1000,A,B,-1000,-1000
1,2,10,-1000,4,6,-1000,A,B,-1000,-1000
1,2,11,-1000,4,6,-1000,A,B,-1000,-1000
1,2,12,-1000,4,6,-1000,A,B,-1000,-1000
1,2,13,-1000,4,1,-1000,A,B,-1000,-1000
1,2,14,-1000,9,6,-1000,A,B,-1000,-1000
1,2,15,-1000,4,6,-1000,A,B,-1000,-1000
1,2,16,-1000,9,6,-1000,A,B,-1000,-1000
1,2,17,-1000,4,6,-1000,A,B,-1000,-1000
1,2,18,-1000,4,1,-1000,A,B,-1000,-1000
1,2,19,-1000,4,6,-1000,A,B,-1000,-1000
1,2,20,-1000,4,6,-1000,A,B,-1000,-1000
1,2,21,-1000,4,6,-1000,A,B,-1000,-1000
1,2,22,-1000,9,1,-1000,A,B,-1000,-1000
1,2,23,-1000,4,6,-1000,A,B,-1000,-1000
1,2,24,-1000,4,6,-1000,A,B,-1000,-1000
1,2,25,-1000,4,6,-1000,A,B,-1000,-1000
1,2,26,-1000,4,6,-1000,A,B,-1000,-1000
1,2,27,-1000,9,6,-1000,A,B,-1000,-1000
1,2,28,-1000,4,1,-1000,A,B,-1000,-1000
1,2,29,-1000,4,6,-1000,A,B,-1000,-1000
1,2,30,-1000,4,6,-1000,A,B,-1000,-1000
1,3,1,left,4,6,6,B,A,0,1
1,3,2,left,9,6,6,B,A,0,1
1,3,3,right,4,6,4,B,A,1,0
1,3,4,right,4,6,4,B,A,1,0
1,3,5,right,4,6,4,B,A,1,0
1,3,6,left,4,6,6,B,A,0,1
1,3,7,left,4,6,6,B,A,0,1
1,3,8,left,4,6,6,B,A,0,1
1,3,9,left,4,6,6,B,A,0,1
1,3,10,left,4,6,6,B,A,0,1
1,3,11,left,4,6,6,B,A,0,1
1,3,12,left,4,6,6,B,A,0,1
1,3,13,left,4,6,6,B,A,0,1
1,3,14,left,4,1,1,B,A,0,1
1,3,15,right,4,6,4,B,A,1,0
1,3,16,left,4,6,6,B,A,0,1
1,3,17,left,4,6,6,B,A,0,1
1,3,18,left,4,6,6,B,A,0,1
1,3,19,left,4,6,6,B,A,0,1
1,3,20,left,4,6,6,B,A,0,1
1,3,21,left,4,6,6,B,A,0,1
1,3,22,left,4,6,6,B,A,0,1
1,3,23,left,4,6,6,B,A,0,1
1,3,24,left,4,6,6,B,A,0,1
1,3,25,left,4,6,6,B,A,0,1
1,3,26,right,4,6,4,B,A,1,0
1,3,27,left,4,1,1,B,A,0,1
1,3,28,left,4,6,6,B,A,0,1
1,3,29,left,9,6,6,B,A,0,1
1,3,30,left,4,6,6,B,A,0,1
1,4,1,left,9,6,9,A,B,1,0
1,4,2,left,4,6,4,A,B,1,0
1,4,3,right,9,1,1,A,B,0,1
1,4,4,left,9,6,9,A,B,1,0
1,4,5,left,4,6,4,A,B,1,0
1,4,6,left,9,6,9,A,B,1,0
1,4,7,left,4,6,4,A,B,1,0
1,4,8,left,4,1,4,A,B,1,0
1,4,9,left,9,1,9,A,B,1,0
1,4,10,right,4,1,1,A,B,0,1
1,4,11,right,4,6,6,A,B,0,1
1,4,12,left,4,6,4,A,B,1,0
1,4,13,left,4,6,4,A,B,1,0
1,4,14,left,4,1,4,A,B,1,0
1,4,15,left,4,6,4,A,B,1,0
1,4,16,right,4,6,6,A,B,0,1
1,4,17,left,4,6,4,A,B,1,0
1,4,18,left,4,1,4,A,B,1,0
1,4,19,right,4,1,1,A,B,0,1
1,4,20,right,9,1,1,A,B,0,1
1,4,21,right,9,6,6,A,B,0,1
1,4,22,right,4,6,6,A,B,0,1
1,4,23,left,9,6,9,A,B,1,0
1,4,24,left,4,6,4,A,B,1,0
1,4,25,left,4,1,4,A,B,1,0
1,4,26,left,4,6,4,A,B,1,0
1,4,27,right,4,6,6,A,B,0,1
1,4,28,right,9,1,1,A,B,0,1
1,4,29,right,9,6,6,A,B,0,1
1,4,30,right,4,6,6,A,B,0,1
2,1,1,left,8,2,8,A,B,1,0
2,1,2,left,6,8,6,A,B,1,0
2,1,3,left,4,2,4,A,B,1,0
2,1,4,right,4,1,1,A,B,0,1
2,1,5,left,1,5,1,A,B,1,0
2,1,6,left,4,6,4,A,B,1,0
2,1,7,left,3,4,3,A,B,1,0
2,1,8,left,3,5,3,A,B,1,0
2,1,9,right,4,5,5,A,B,0,1
2,1,10,right,7,9,9,A,B,0,1
2,1,11,right,6,7,7,A,B,0,1
2,1,12,right,7,5,5,A,B,0,1
2,1,13,left,3,7,3,A,B,1,0
2,1,14,right,1,3,3,A,B,0,1
2,1,15,right,3,4,4,A,B,0,1
2,1,16,right,5,6,6,A,B,0,1
2,1,17,right,9,4,4,A,B,0,1
2,1,18,right,7,8,8,A,B,0,1
2,1,19,right,5,4,4,A,B,0,1
2,1,20,left,8,9,8,A,B,1,0
2,1,21,right,6,7,7,A,B,0,1
2,1,22,right,9,5,5,A,B,0,1
2,1,23,right,6,5,5,A,B,0,1
2,1,24,right,5,3,3,A,B,0,1
2,1,25,right,7,1,1,A,B,0,1
