subject_id,block_id,trial_no,choice_location,outcomeA,outcomeB,chosen_reward,option_left,option_right,choiceprobA,choiceprobB
61,1,1,left,2,3,3,B,A,0,1
61,1,2,right,3,5,3,B,A,1,0
61,1,3,left,3,4,4,B,A,0,1
61,1,4,left,5,1,1,B,A,0,1
61,1,5,right,6,2,6,B,A,1,0
61,1,6,right,3,4,3,B,A,1,0
61,1,7,left,6,4,4,B,A,0,1
61,1,8,right,2,3,2,B,A,1,0
61,1,9,right,4,3,4,B,A,1,0
61,1,10,left,6,7,7,B,A,0,1
61,1,11,right,3,4,3,B,A,1,0
61,1,12,left,6,4,4,B,A,0,1
61,1,13,left,4,6,6,B,A,0,1
61,1,14,right,4,5,4,B,A,1,0
61,1,15,right,2,5,2,B,A,1,0
61,1,16,right,4,2,4,B,A,1,0
61,1,17,left,5,6,6,B,A,0,1
61,1,18,right,4,5,4,B,A,1,0
61,1,19,left,2,3,3,B,A,0,1
61,1,20,right,5,6,5,B,A,1,0
61,1,21,left,5,6,6,B,A,0,1
61,1,22,left,5,4,4,B,A,0,1
61,1,23,right,4,5,4,B,A,1,0
61,1,24,right,1,2,1,B,A,1,0
61,1,25,right,3,4,3,B,A,1,0
61,1,26,left,3,4,4,B,A,0,1
61,1,27,left,5,3,3,B,A,0,1
61,1,28,right,4,5,4,B,A,1,0
61,1,29,right,7,3,7,B,A,1,0
61,1,30,left,4,2,2,B,A,0,1
61,2,1,left,9,6,6,B,A,0,1
61,2,2,right,4,6,4,B,A,1,0
61,2,3,left,4,6,6,B,A,0,1
61,2,4,left,4,1,1,B,A,0,1
61,2,5,left,4,6,6,B,A,0,1
61,2,6,left,9,6,6,B,A,0,1
61,2,7,right,4,1,4,B,A,1,0
61,2,8,left,4,6,6,B,A,0,1
61,2,9,left,4,6,6,B,A,0,1
61,2,10,left,4,6,6,B,A,0,1
61,2,11,right,4,1,4,B,A,1,0
61,2,12,left,4,6,6,B,A,0,1
61,2,13,left,4,6,6,B,A,0,1
61,2,14,left,4,6,6,B,A,0,1
61,2,15,right,9,6,9,B,A,1,0
61,2,16,left,4,6,6,B,A,0,1
61,2,17,left,4,1,1,B,A,0,1
61,2,18,left,4,6,6,B,A,0,1
61,2,19,left,4,6,6,B,A,0,1
61,2,20,right,9,6,9,B,A,1,0
61,2,21,left,4,6,6,B,A,0,1
61,2,22,right,4,1,4,B,A,1,0
61,2,23,left,9,6,6,B,A,0,1
61,2,24,left,4,6,6,B,A,0,1
61,2,25,right,4,6,4,B,A,1,0
61,2,26,right,4,6,4,B,A,1,0
61,2,27,left,4,6,6,B,A,0,1
61,2,28,left,9,6,6,B,A,0,1
61,2,29,right,4,6,4,B,A,1,0
61,2,30,right,4,1,4,B,A,1,0
61,3,1,left,4,6,4,A,B,1,0
61,3,2,right,4,6,6,A,B,0,1
61,3,3,right,4,6,6,A,B,0,1
61,3,4,left,4,6,4,A,B,1,0
61,3,5,left,4,6,4,A,B,1,0
61,3,6,right,9,6,6,A,B,0,1
61,3,7,left,4,6,4,A,B,1,0
61,3,8,left,4,6,4,A,B,1,0
61,3,9,right,4,1,1,A,B,0,1
61,3,10,right,4,6,6,A,B,0,1
61,3,11,left,4,6,4,A,B,1,0
61,3,12,right,4,6,6,A,B,0,1
61,3,13,right,4,6,6,A,B,0,1
61,3,14,left,4,6,4,A,B,1,0
61,3,15,left,4,6,4,A,B,1,0
61,3,16,left,4,6,4,A,B,1,0
61,3,17,left,4,6,4,A,B,1,0
61,3,18,left,4,6,4,A,B,1,0
61,3,19,right,4,6,6,A,B,0,1
61,3,20,left,4,6,4,A,B,1,0
61,3,21,left,4,6,4,A,B,1,0
61,3,22,right,4,6,6,A,B,0,1
61,3,23,right,4,6,6,A,B,0,1
61,3,24,right,9,6,6,A,B,0,1
61,3,25,left,4,6,4,A,B,1,0
61,3,26,right,4,6,6,A,B,0,1
61,3,27,right,4,6,6,A,B,0,1
61,3,28,left,4,6,4,A,B,1,0
61,3,29,left,4,1,4,A,B,1,0
61,3,30,right,4,6,6,A,B,0,1
61,4,1,right,4,6,6,A,B,0,1
61,4,2,left,9,6,9,A,B,1,0
61,4,3,left,4,6,4,A,B,1,0
61,4,4,right,9,6,6,A,B,0,1
61,4,5,left,4,6,4,A,B,1,0
61,4,6,right,4,1,1,A,B,0,1
61,4,7,right,4,1,1,A,B,0,1
61,4,8,left,4,1,4,A,B,1,0
61,4,9,left,9,1,9,A,B,1,0
61,4,10,right,9,6,6,A,B,0,1
61,4,11,left,9,1,9,A,B,1,0
61,4,12,left,4,6,4,A,B,1,0
61,4,13,right,4,6,6,A,B,0,1
61,4,14,right,4,6,6,A,B,0,1
61,4,15,right,4,6,6,A,B,0,1
61,4,16,right,4,6,6,A,B,0,1
61,4,17,right,9,6,6,A,B,0,1
